detail_id,OCC_TITLE,total_emp,a_mean,a_median,h_mean,h_median,broad_id
172021,Agricultural Engineers,1980,77330,73640,37.18,35.40,172020
172031,Biomedical Engineers,20590,89970,85620,43.25,41.16,172030
172041,Chemical Engineers,31990,105420,98340,50.68,47.28,172040
172051,Civil Engineers,287800,89730,83540,43.14,40.16,172050
172061,Computer Hardware Engineers,72950,118700,115080,57.07,55.33,172060
172071,Electrical Engineers,183770,98620,94210,47.41,45.29,172070
172072,"Electronics Engineers, Except Computer",132100,103760,99210,49.89,47.70,172070
172081,Environmental Engineers,52280,88530,84890,42.56,40.81,172080
172111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",25410,90190,86720,43.36,41.69,172110
172112,Industrial Engineers,256550,88530,84310,42.56,40.53,172110
172121,Marine Engineers and Naval Architects,8120,99860,93350,48.01,44.88,172120
172131,Materials Engineers,26800,97050,93310,46.66,44.86,172130
172141,Mechanical Engineers,285790,89800,84190,43.17,40.48,172140
172151,"Mining and Geological Engineers, Including Mining Safety Engineers",6940,103010,93720,49.52,45.06,172150
172161,Nuclear Engineers,17680,105950,102220,50.94,49.14,172160
172171,Petroleum Engineers,32780,147030,128230,70.69,61.65,172170
172199,"Engineers, All Other",123390,99250,97300,47.71,46.78,172190
173011,Architectural and Civil Drafters,96810,54290,51640,26.10,24.83,173010
173012,Electrical and Electronics Drafters,26750,63390,59970,30.48,28.83,173010
173013,Mechanical Drafters,63630,57480,54480,27.63,26.19,173010
173019,"Drafters, All Other",15530,54410,50470,26.16,24.26,173010
173021,Aerospace Engineering and Operations Technicians,11970,71070,68020,34.17,32.70,173020
173022,Civil Engineering Technicians,72150,52120,49980,25.06,24.03,173020
173023,Electrical and Electronics Engineering Technicians,134870,62950,62190,30.27,29.90,173020
173024,Electro-Mechanical Technicians,13710,57860,55610,27.82,26.74,173020
173025,Environmental Engineering Technicians,16550,52500,49170,25.24,23.64,173020
173026,Industrial Engineering Technicians,63220,56920,53330,27.37,25.64,173020
173027,Mechanical Engineering Technicians,45510,57180,54480,27.49,26.19,173020
173029,"Engineering Technicians, Except Drafters, All Other",74290,64050,62330,30.80,29.96,173020
173031,Surveying and Mapping Technicians,53920,45490,42450,21.87,20.41,173030
191011,Animal Scientists,2470,72890,60330,35.04,29.01,191010
191012,Food Scientists and Technologists,14200,71270,63950,34.26,30.74,191010
191013,Soil and Plant Scientists,14690,69290,62300,33.31,29.95,191010
191021,Biochemists and Biophysicists,29200,94340,82180,45.36,39.51,191020
191022,Microbiologists,21670,76850,66850,36.95,32.14,191020
191023,Zoologists and Wildlife Biologists,17720,64890,60520,31.20,29.10,191020
191029,"Biological Scientists, All Other",35110,77830,74790,37.42,35.96,191020
191031,Conservation Scientists,20470,65130,61810,31.31,29.72,191030
191032,Foresters,8420,60300,58700,28.99,28.22,191030
191041,Epidemiologists,5690,77720,70820,37.37,34.05,191040
191042,"Medical Scientists, Except Epidemiologists",108870,95000,80530,45.68,38.72,191040
191099,"Life Scientists, All Other",7890,83150,73860,39.98,35.51,191090
192011,Astronomers,1830,110380,104740,53.07,50.35,192010
192012,Physicists,16680,121770,115870,58.54,55.71,192010
192021,Atmospheric and Space Scientists,9800,94840,92460,45.60,44.45,192020
192031,Chemists,86660,80820,73740,38.86,35.45,192030
192032,Materials Scientists,7750,101570,99430,48.83,47.80,192030
192041,"Environmental Scientists and Specialists, Including Health",84250,75360,68910,36.23,33.13,192040
192042,"Geoscientists, Except Hydrologists and Geographers",30420,106390,89780,51.15,43.16,192040
192043,Hydrologists,6300,83740,80480,40.26,38.69,192040
192099,"Physical Scientists, All Other",18960,98460,96070,47.34,46.19,192090
193011,Economists,19380,112860,101050,54.26,48.58,193010
193022,Survey Researchers,11930,59950,54470,28.82,26.19,193020
193031,"Clinical, Counseling, and School Psychologists",107980,78690,73270,37.83,35.23,193030
193032,Industrial-Organizational Psychologists,1020,104570,82760,50.27,39.79,193030
193039,"Psychologists, All Other",13310,94650,95710,45.51,46.02,193030
193041,Sociologists,2870,86840,79750,41.75,38.34,193040
193051,Urban and Regional Planners,34810,73060,70020,35.12,33.66,193050
193091,Anthropologists and Archeologists,6470,66440,63190,31.94,30.38,193090
193092,Geographers,1370,74090,74260,35.62,35.70,193090
193093,Historians,2950,60990,55110,29.32,26.49,193090
